baseline_feature,matched_ft_feature,decoder_cosine_similarity,status
0,3200,0.12801048,changed
1,706,0.12133267,changed
2,3200,0.11838073,changed
3,3262,0.12668286,changed
4,338,0.14198554,changed
5,2991,0.12416081,changed
6,1043,0.13693212,changed
7,2025,0.13858888,changed
8,3312,0.112008095,changed
9,384,0.12084718,changed
10,1336,0.12308405,changed
11,1884,0.12307786,changed
12,1593,0.15634897,changed
13,2658,0.15719706,changed
14,1427,0.14933142,changed
15,1623,0.13773134,changed
16,3516,0.13627523,changed
17,311,0.12746538,changed
18,2566,0.14182614,changed
19,410,0.124445565,changed
20,676,0.13645476,changed
21,2911,0.1312061,changed
22,2863,0.12847699,changed
23,438,0.26116735,changed
24,484,0.19674736,changed
25,2257,0.13747457,changed
26,1442,0.121837795,changed
27,3431,0.14035293,changed
28,3680,0.13784665,changed
29,3498,0.1353635,changed
30,2764,0.15677945,changed
31,3565,0.12088971,changed
32,3834,0.15045506,changed
33,9,0.11975627,changed
34,1076,0.1538881,changed
35,3165,0.123230904,changed
36,3753,0.13250515,changed
37,864,0.12911773,changed
38,352,0.1309622,changed
39,82,0.14246467,changed
40,2844,0.14951813,changed
41,2096,0.12773463,changed
42,3774,0.16867206,changed
43,454,0.14109492,changed
44,3825,0.126358,changed
45,3340,0.14567854,changed
46,1813,0.13529123,changed
47,302,0.123665206,changed
48,2954,0.14928538,changed
49,1501,0.16120216,changed
50,1374,0.11975303,changed
51,3514,0.11676309,changed
52,2161,0.15604411,changed
53,1766,0.13778007,changed
54,191,0.11966269,changed
55,97,0.15271966,changed
56,2669,0.13317253,changed
57,267,0.14014846,changed
58,152,0.19924378,changed
59,3325,0.1339096,changed
60,3003,0.14315689,changed
61,3092,0.12120703,changed
62,1729,0.1400391,changed
63,1481,0.119047165,changed
64,684,0.1380821,changed
65,3873,0.13736701,changed
66,3369,0.11614506,changed
67,3753,0.15186796,changed
68,43,0.12104391,changed
69,3956,0.13852745,changed
70,969,0.1327319,changed
71,2091,0.12954661,changed
72,3139,0.12761186,changed
73,1501,0.14233486,changed
74,2255,0.33343738,changed
75,173,0.13569558,changed
76,1980,0.1243846,changed
77,2021,0.11980345,changed
78,2909,0.12734932,changed
79,659,0.12046783,changed
80,3413,0.1253052,changed
81,253,0.13516119,changed
82,936,0.11721869,changed
83,739,0.12179069,changed
84,2046,0.12683895,changed
85,1322,0.121385194,changed
86,3770,0.13758148,changed
87,3918,0.12582085,changed
88,2966,0.14847979,changed
89,456,0.12971643,changed
90,1452,0.13290223,changed
91,103,0.12774877,changed
92,1411,0.13962153,changed
93,3507,0.1360768,changed
94,1124,0.16945978,changed
95,2126,0.11350365,changed
96,96,0.12596981,changed
97,1223,0.13475308,changed
98,1175,0.13443193,changed
99,2501,0.13136366,changed
100,1860,0.1329801,changed
101,884,0.12639648,changed
102,3703,0.123097226,changed
103,563,0.1714468,changed
104,1134,0.12274457,changed
105,3495,0.1285876,changed
106,2250,0.14709087,changed
107,1760,0.14809673,changed
108,4031,0.12673384,changed
109,1818,0.13037832,changed
110,2255,0.12816982,changed
111,117,0.13407734,changed
112,3719,0.12905307,changed
113,424,0.124270394,changed
114,1595,0.14099205,changed
115,970,0.13739643,changed
116,152,0.12787205,changed
117,1268,0.1352219,changed
118,1643,0.12177694,changed
119,3482,0.14180762,changed
120,335,0.12483846,changed
121,359,0.12431001,changed
122,4078,0.118477896,changed
123,859,0.15573698,changed
124,2058,0.23031294,changed
125,1850,0.17075858,changed
126,3207,0.15253244,changed
127,1619,0.14074615,changed
128,528,0.12615378,changed
129,2917,0.16774875,changed
130,1737,0.12121849,changed
131,2907,0.12604165,changed
132,2693,0.13263518,changed
133,3555,0.13289641,changed
134,3687,0.14265662,changed
135,1618,0.12265228,changed
136,566,0.16263258,changed
137,484,0.7346886,shifted
138,3973,0.12359245,changed
139,2514,0.1583856,changed
140,922,0.11747749,changed
141,2173,0.11667352,changed
142,2651,0.13365944,changed
143,3933,0.14421862,changed
144,2161,0.121438794,changed
145,1032,0.11969948,changed
146,2554,0.13361168,changed
147,1062,0.13106212,changed
148,2217,0.13747415,changed
149,76,0.1321282,changed
150,1684,0.13496092,changed
151,346,0.16071959,changed
152,578,0.12184356,changed
153,1614,0.13992609,changed
154,1268,0.11692242,changed
155,3021,0.14230981,changed
156,1991,0.20476192,changed
157,2632,0.12303475,changed
158,201,0.13019866,changed
159,802,0.11632118,changed
160,1518,0.11725768,changed
161,2132,0.1403615,changed
162,3572,0.12637013,changed
163,3379,0.13872528,changed
164,918,0.13897125,changed
165,1909,0.15181799,changed
166,1907,0.11873102,changed
167,3061,0.25149214,changed
168,526,0.12333247,changed
169,3846,0.13571039,changed
170,620,0.14752063,changed
171,3988,0.12972377,changed
172,2950,0.14687186,changed
173,3231,0.1633448,changed
174,2305,0.12575278,changed
175,904,0.120236486,changed
176,1772,0.12228732,changed
177,1028,0.12126258,changed
178,2052,0.13325906,changed
179,721,0.14470327,changed
180,475,0.11556235,changed
181,2368,0.12571971,changed
182,1308,0.14570692,changed
183,1215,0.13375035,changed
184,1654,0.14014587,changed
185,1998,0.13766685,changed
186,2314,0.1328195,changed
187,883,0.1355692,changed
188,1212,0.19513279,changed
189,838,0.13512291,changed
190,814,0.15989554,changed
191,413,0.1530513,changed
192,281,0.1411084,changed
193,3396,0.15538786,changed
194,3277,0.123868555,changed
195,251,0.13066868,changed
196,2155,0.17463909,changed
197,1296,0.12244629,changed
198,2250,0.14230174,changed
199,33,0.13026242,changed
200,121,0.124576464,changed
201,276,0.58712965,shifted
202,473,0.13458347,changed
203,1720,0.12571105,changed
204,2432,0.14037271,changed
205,1885,0.12971634,changed
206,3598,0.13194345,changed
207,737,0.1415662,changed
208,1700,0.110204935,changed
209,823,0.19598284,changed
210,3233,0.1266135,changed
211,492,0.17068017,changed
212,668,0.14322022,changed
213,1699,0.122907445,changed
214,2655,0.13135388,changed
215,1145,0.1290863,changed
216,1578,0.12428412,changed
217,1278,0.1410039,changed
218,137,0.121101595,changed
219,878,0.1354655,changed
220,730,0.32933378,changed
221,970,0.13324662,changed
222,2251,0.1310793,changed
223,2640,0.12381346,changed
224,3917,0.12953442,changed
225,518,0.11995621,changed
226,3982,0.12326655,changed
227,2351,0.11802241,changed
228,3389,0.12530309,changed
229,3956,0.11595986,changed
230,1731,0.11529046,changed
231,2252,0.1425359,changed
232,2956,0.12936923,changed
233,2579,0.20555079,changed
234,2184,0.13126102,changed
235,1901,0.124270745,changed
236,2054,0.16041955,changed
237,2112,0.13697943,changed
238,439,0.122778445,changed
239,3597,0.1678528,changed
240,1511,0.13773844,changed
241,154,0.12295187,changed
242,534,0.18721937,changed
243,3515,0.13017434,changed
244,2575,0.18651904,changed
245,1481,0.13587388,changed
246,3171,0.13553138,changed
247,3444,0.1491524,changed
248,3441,0.12644684,changed
249,231,0.11421674,changed
250,782,0.14957088,changed
251,1821,0.13202429,changed
252,2484,0.11058378,changed
253,2793,0.13262112,changed
254,1340,0.12347229,changed
255,0,0.16129953,changed
